Date	ET
20021003	0.804
20021004	3.717
20021005	1.863
20021006	1.368
20021007	0.810
20021008	0.535
20021009	1.405
20021010	0.768
20021011	1.211
20021012	0.872
20021013	0.593
20021014	0.657
20021015	0.405
20021016	0.752
20021017	0.230
20021018	0.609
20021019	0.165
20021020	0.384
20021021	0.300
20021022	0.306
20021023	0.123
20021024	0.647
20021025	1.734
20021026	0.410
20021027	2.124
20021028	0.331
20021029	2.644
20021030	1.796
20021031	0.431
20021101	0.410
20021102	1.023
20021103	2.487
20021104	0.488
20021105	1.260
20021106	0.731
20021107	0.556
20021108	0.736
20021109	1.678
20021110	0.712
20021111	0.345
20021112	0.456
20021113	0.110
20021114	0.606
20021115	0.439
20021116	1.287
20021117	0.404
20021118	0.952
20021119	0.434
20021120	0.342
20021121	0.430
20021122	0.350
20021123	0.802
20021124	0.169
20021125	0.392
20021126	0.318
20021127	0.212
20021128	0.178
20021129	0.344
20021130	0.277
20021201	0.131
20021202	0.368
20021203	8.086
20021204	0.010
20021205	0.144
20021206	0.053
20021207	1.039
20021208	0.773
20021209	0.922
20021210	1.086
20021211	0.681
20021212	0.759
20021213	0.621
20021214	0.480
20021215	0.449
20021216	0.561
20021217	0.326
20021218	0.524
20021219	0.681
20021220	0.631
20021221	2.425
20021222	1.033
20021223	0.102
20021224	0.182
20021225	0.160
20021226	0.135
20021227	0.222
20021228	0.271
20021229	1.383
20021230	2.513
20021231	1.114
20030101	0.873
20030102	0.819
20030103	0.712
20030104	0.558
20030105	0.361
20030106	0.564
20030107	1.373
20030108	0.597
20030109	0.739
20030110	0.277
20030111	0.433
20030112	0.285
20030113	0.324
20030114	0.149
20030115	0.220
20030116	0.622
20030117	0.214
20030118	0.340
20030119	0.327
20030120	0.327
20030121	0.047
20030122	0.314
20030123	0.073
20030124	0.310
20030125	0.193
20030126	0.146
20030127	0.407
20030128	0.222
20030129	0.336
20030130	0.408
20030131	0.329
20030201	0.280
20030202	0.289
20030203	0.434
20030204	0.216
20030205	0.099
20030206	0.379
20030207	0.537
20030208	0.259
20030209	1.499
20030210	0.540
20030211	0.310
20030212	0.165
20030213	0.144
20030214	0.679
20030215	0.861
20030216	0.486
20030217	0.347
20030218	0.105
20030219	0.207
20030220	0.086
20030221	0.349
20030222	0.413
20030223	0.162
20030224	0.212
20030225	0.104
20030226	0.300
20030227	0.285
20030228	0.201
20030301	0.233
20030302	0.079
20030303	0.397
20030304	0.203
20030305	0.269
20030306	0.467
20030307	0.355
20030308	0.238
20030309	0.053
20030310	0.277
20030311	0.587
20030312	0.420
20030313	0.152
20030314	0.276
20030315	0.242
20030316	0.347
20030317	0.167
20030318	0.736
20030319	0.497
20030320	2.955
20030321	0.593
20030322	1.284
20030323	1.240
20030324	0.768
20030325	0.697
20030326	0.593
20030327	0.564
20030328	4.140
20030329	1.151
20030330	0.921
20030331	0.909
20030401	1.187
20030402	0.772
20030403	0.883
20030404	0.519
20030405	0.292
20030406	0.810
20030407	0.327
20030408	0.598
20030409	0.488
20030410	0.618
20030411	0.496
20030412	0.456
20030413	0.433
20030414	0.697
20030415	1.281
20030416	3.166
20030417	0.190
20030418	1.854
20030419	0.391
20030420	0.733
20030421	0.483
20030422	0.222
20030423	3.709
20030424	1.444
20030425	0.870
20030426	1.059
20030427	0.650
20030428	0.742
20030429	1.439
20030430	1.469
20030501	1.007
20030502	0.170
20030503	0.695
20030504	0.702
20030505	0.564
20030506	0.279
20030507	0.418
20030508	0.678
20030509	0.473
20030510	0.452
20030511	0.277
20030512	0.065
20030513	0.705
20030514	0.032
20030515	0.073
20030516	3.266
20030517	1.597
20030518	1.200
20030519	0.096
20030520	1.097
20030521	0.243
20030522	0.323
20030523	1.047
20030524	3.069
20030525	0.666
20030526	1.444
20030527	0.939
20030528	0.806
20030529	0.444
20030530	0.851
20030531	0.220
20030601	0.751
20030602	1.496
20030603	4.001
20030604	4.263
20030605	2.689
20030606	5.779
20030607	3.654
20030608	1.801
20030609	2.407
20030610	1.148
20030611	1.349
20030612	0.916
20030613	1.157
20030614	5.069
20030615	2.874
20030616	1.764
20030617	1.213
20030618	0.935
20030619	1.052
20030620	5.795
20030621	5.740
20030622	3.339
20030623	2.566
20030624	1.407
20030625	1.618
20030626	1.488
20030627	0.836
20030628	1.154
20030629	1.086
20030630	5.054
20030701	2.273
20030702	1.885
20030703	1.814
20030704	1.663
20030705	1.647
20030706	1.485
20030707	1.339
20030708	2.052
20030709	2.420
20030710	2.788
20030711	2.962
20030712	5.485
20030713	4.043
20030714	4.030
20030715	3.811
20030716	3.839
20030717	3.505
20030718	4.164
20030719	4.821
20030720	4.847
20030721	3.879
20030722	4.116
20030723	4.373
20030724	5.202
20030725	5.554
20030726	5.448
20030727	5.053
20030728	4.571
20030729	3.903
20030730	3.592
20030731	4.524
20030801	4.581
20030802	4.022
20030803	3.555
20030804	4.257
20030805	3.764
20030806	3.412
20030807	3.357
20030808	2.937
20030809	2.415
20030810	2.506
20030811	2.821
20030812	2.479
20030813	2.362
20030814	1.931
20030815	2.012
20030816	2.363
20030817	2.469
20030818	2.662
20030819	2.675
20030820	2.350
20030821	2.457
20030822	2.331
20030823	2.204
20030824	2.147
20030825	1.816
20030826	1.411
20030827	2.092
20030828	1.549
20030829	2.800
20030830	1.608
20030831	1.634
20030901	3.535
20030902	3.751
20030903	3.156
20030904	3.005
20030905	2.981
20030906	3.023
20030907	2.524
20030908	3.717
20030909	3.788
20030910	3.587
20030911	4.189
20030912	3.547
20030913	2.355
20030914	2.341
20030915	2.180
20030916	2.916
20030917	2.283
20030918	1.742
20030919	1.595
20030920	1.713
20030921	2.510
20030922	2.120
20030923	2.133
20030924	1.941
20030925	1.775
20030926	3.154
20030927	2.174
20030928	1.320
20030929	1.545
20030930	1.054
20031001	0.783
20031002	0.840
20031003	1.083
20031004	0.777
20031005	1.019
20031006	0.976
20031007	1.246
20031008	0.527
20031009	3.002
20031010	1.203
20031011	2.968
20031012	1.918
20031013	2.882
20031014	1.901
20031015	2.401
20031016	2.650
20031017	1.953
20031018	2.248
20031019	2.568
20031020	2.061
20031021	1.973
20031022	1.895
20031023	1.967
20031024	1.479
20031025	0.626
20031026	0.552
20031027	0.483
20031028	0.375
20031029	0.661
20031030	0.451
20031031	0.238
20031101	0.041
20031102	0.068
20031103	0.768
20031104	0.590
20031105	0.214
20031106	0.273
20031107	0.256
20031108	0.121
20031109	0.093
20031110	0.315
20031111	0.610
20031112	0.371
20031113	0.032
20031114	1.078
20031115	1.157
20031116	1.186
20031117	1.068
20031118	1.135
20031119	0.785
20031120	0.914
20031121	0.521
20031122	0.466
20031123	0.518
20031124	0.418
20031125	0.456
20031126	0.398
20031127	1.029
20031128	0.463
20031129	0.589
20031130	0.419
20031201	0.194
20031202	0.210
20031203	0.354
20031204	0.286
20031205	0.275
20031206	0.203
20031207	0.472
20031208	0.153
20031209	1.371
20031210	0.718
20031211	0.307
20031212	0.067
20031213	0.320
20031214	0.314
20031215	0.261
20031216	0.389
20031217	0.272
20031218	0.181
20031219	0.236
20031220	0.239
20031221	0.355
20031222	0.284
20031223	0.803
20031224	0.675
20031225	0.463
20031226	0.508
20031227	0.369
20031228	0.266
20031229	0.183
20031230	0.381
20031231	0.218
20040101	0.286
20040102	0.386
20040103	0.130
20040104	0.154
20040105	0.145
20040106	0.135
20040107	0.012
20040108	0.313
20040109	0.161
20040110	0.133
20040111	0.188
20040112	0.106
20040113	0.133
20040114	0.166
20040115	0.079
20040116	0.252
20040117	0.535
20040118	1.114
20040119	0.545
20040120	0.663
20040121	0.530
20040122	0.545
20040123	0.551
20040124	0.470
20040125	0.593
20040126	0.904
20040127	0.692
20040128	0.991
20040129	0.682
20040130	0.555
20040131	0.546
20040201	0.306
20040202	0.404
20040203	0.202
20040204	0.313
20040205	0.247
20040206	0.516
20040207	0.201
20040208	0.470
20040209	0.371
20040210	0.295
20040211	0.138
20040212	0.032
20040213	0.054
20040214	0.984
20040215	1.214
20040216	0.890
20040217	0.741
20040218	0.782
20040219	0.476
20040220	0.508
20040221	0.305
20040222	0.236
20040223	0.368
20040224	0.149
20040225	0.945
20040226	1.269
20040227	0.982
20040228	0.444
20040229	2.953
20040301	1.038
20040302	0.397
20040303	0.929
20040304	0.298
20040305	0.430
20040306	2.595
20040307	1.525
20040308	1.081
20040309	0.869
20040310	0.919
20040311	0.695
20040312	0.131
20040313	1.462
20040314	0.491
20040315	1.488
20040316	1.196
20040317	0.848
20040318	0.593
20040319	0.716
20040320	0.791
20040321	0.559
20040322	0.314
20040323	0.355
20040324	0.540
20040325	0.456
20040326	0.089
20040327	0.872
20040328	0.522
20040329	0.488
20040330	0.480
20040331	0.478
20040401	0.494
20040402	0.955
20040403	2.286
20040404	0.979
20040405	0.845
20040406	0.057
20040407	2.354
20040408	1.619
20040409	3.158
20040410	1.397
20040411	0.537
20040412	2.059
20040413	2.443
20040414	1.859
20040415	1.543
20040416	1.272
20040417	0.340
20040418	1.055
20040419	0.945
20040420	1.167
20040421	0.849
20040422	0.541
20040423	0.741
20040424	1.285
20040425	1.178
20040426	2.485
20040427	1.482
20040428	0.939
20040429	0.663
20040430	1.076
20040501	0.681
20040502	0.768
20040503	0.827
20040504	0.768
20040505	0.828
20040506	0.772
20040507	0.577
20040508	0.567
20040509	0.593
20040510	0.888
20040511	3.714
20040512	1.952
20040513	1.143
20040514	0.905
20040515	0.556
20040516	0.639
20040517	1.697
20040518	0.738
20040519	0.436
20040520	0.410
20040521	0.417
20040522	1.088
20040523	0.704
20040524	6.936
20040525	2.678
20040526	3.018
20040527	1.282
20040528	1.222
20040529	1.272
20040530	0.966
20040531	0.822
20040601	0.798
20040602	1.501
20040603	0.635
20040604	1.162
20040605	4.790
20040606	4.127
20040607	2.143
20040608	1.232
20040609	1.016
20040610	1.629
20040611	1.315
20040612	1.039
20040613	1.052
20040614	1.303
20040615	1.511
20040616	1.838
20040617	2.174
20040618	2.281
20040619	2.188
20040620	1.791
20040621	1.906
20040622	3.821
20040623	2.342
20040624	2.678
20040625	4.046
20040626	2.297
20040627	3.957
20040628	2.644
20040629	1.783
20040630	5.703
20040701	4.145
20040702	3.154
20040703	3.033
20040704	3.109
20040705	2.347
20040706	1.942
20040707	2.777
20040708	3.258
20040709	3.289
20040710	5.174
20040711	4.252
20040712	4.317
20040713	4.088
20040714	4.597
20040715	4.907
20040716	4.484
20040717	3.573
20040718	7.046
20040719	6.523
20040720	4.472
20040721	6.854
20040722	4.542
20040723	4.539
20040724	1.255
20040725	1.874
20040726	3.362
20040727	3.986
20040728	4.677
20040729	4.808
20040730	5.166
20040731	5.503
20040801	5.199
20040802	4.348
20040803	4.459
20040804	3.757
20040805	2.172
20040806	1.443
20040807	4.565
20040808	3.495
20040809	3.193
20040810	4.328
20040811	3.997
20040812	2.304
20040813	1.888
20040814	3.738
20040815	4.198
20040816	3.766
20040817	3.804
20040818	3.509
20040819	2.992
20040820	2.282
20040821	2.621
20040822	3.559
20040823	3.357
20040824	2.413
20040825	2.718
20040826	2.463
20040827	1.806
20040828	1.707
